Flow Duration,Fwd IAT Mean,Bwd IAT Mean,Fwd IAT Std,Bwd IAT Std,SYN Flag Count,ACK Flag Count,Label
19199,4693.25,6361.0,4050.9651833441703,5577.106866467595,2,8,0
19109,4507.0,6327.0,4778.410684178021,6687.900193633275,2,8,0
15426,3602.0,5103.666666666666,2743.147219284205,4364.08207224994,2,8,0
17875,4385.75,5915.666666666667,1739.370264396476,3280.8118405866153,2,8,0
17279,4222.75,5719.333333333334,2374.0211140594347,4598.289500818031,2,8,0
16488,3991.5,5390.333333333334,3051.1714143915287,4739.994338955832,2,8,0
16815,3993.5,5499.0,2500.2829839840133,4675.232935373381,2,8,0
16507,4036.75,5463.0,1864.9418891751025,2845.9429017462735,2,8,0
12518,2971.5,4070.666666666667,1197.3463714954555,2564.6657352047528,2,8,0
24858,6091.5,8203.0,6180.2625888117955,8249.264391447276,2,8,0
24348,5839.25,8077.666666666667,6882.41161100768,9488.007026416735,2,8,0
9774,2399.0,3239.666666666667,2701.2398387900816,3413.01953310164,2,8,0
18857,4526.0,6233.333333333334,3299.351249362012,5501.023934990043,2,8,0
8707,2098.5,2876.0,951.9063329270725,1952.4425727790306,2,8,0
21654,5234.75,7187.0,4506.63321301686,7154.526049991013,2,8,0
16102,3873.5,5335.666666666666,2950.032937669228,4570.741333015174,2,8,0
15851,3884.75,5220.0,2929.261496805409,4465.383186245051,2,8,0
13779,3249.0,4554.0,1848.3480913146925,3151.9037104581735,2,8,0
14670,3529.5,4797.666666666666,2703.3294903384117,3983.1641107708997,2,8,0
24079,5918.0,7994.333333333333,6920.575939423925,9349.110777680053,2,8,0
20826,5107.75,6901.666666666666,4802.001969665013,6550.116818296703,2,8,0
4585,1103.25,1506.3333333333335,683.5277975327705,1149.0802118796291,2,8,0
5301,1281.25,1748.3333333333335,832.7289975336114,1420.725284259182,2,8,0
13357,3134.0,4413.333333333334,2458.484763697618,3848.859874473652,2,8,0
16812,4113.25,5565.0,2066.0060301622225,4317.9027316510965,2,8,0
9043,2184.0,2984.0,667.9346275397517,1881.066452839984,2,8,0
12227,2855.25,4044.666666666667,1483.1240395417594,2705.892890218187,2,8,0
21505,5157.75,7131.0,5155.181495350092,7095.868093475245,2,8,0
15119,3594.25,4999.666666666666,2542.059188269751,4391.3790924188415,2,8,0
15438,3574.75,5112.666666666666,2254.3552478110746,4016.143963223098,2,8,0
14156,3391.0,4675.333333333334,2695.3733198451996,4056.270372316586,2,8,0
15097,3664.75,4982.666666666666,2573.574735007062,4173.057192674614,2,8,0
25077,5621.0,8327.0,7253.15756527229,10562.995645175663,2,8,0
14421,3501.0,4769.333333333333,1860.8000071653767,3374.3516908190427,2,8,0
32849,7566.75,10910.333333333334,9872.00146457985,14591.274595912906,2,8,0
16865,4020.25,5581.0,1495.5650827251438,2684.305683039843,2,8,0
21183,5153.5,7022.333333333333,5638.557055370343,7331.79277757721,2,8,0
17170,3840.5,5680.333333333334,2085.059631441429,4532.6123078566225,2,8,0
11213,2725.5,3705.0,2419.4420155619905,3630.0400824233334,2,8,0
20790,5045.25,6890.0,4351.655116159827,6379.484540305745,2,8,0
13629,3301.5,4461.0,1715.153345914003,3432.4756372041447,2,8,0
25064,6086.25,8313.666666666668,6071.35956081228,8132.584111666681,2,8,0
21878,5307.75,7254.0,2388.4719487571965,5071.050778684828,2,8,0
16134,3928.5,5346.0,3203.782400018245,4981.335463507753,2,8,0
24177,5915.75,8027.333333333333,6867.560769055244,10060.046587035933,2,8,0
13177,3137.75,4350.0,1770.2042019684245,3428.9848351953965,2,8,0
12131,2945.25,4009.6666666666665,887.8233213877635,2372.721924991071,2,8,0
11948,2793.75,3942.333333333333,1878.6871967768695,3517.3570096499066,2,8,0
14795,3613.25,4892.333333333334,2756.060035025846,4481.407070701493,2,8,0
13155,3183.0,4344.666666666667,1433.2431754590707,2870.0742731388214,2,8,0
13594,3000.75,4500.333333333333,1681.3412057045412,3318.916439643115,2,8,0
13937,3365.0,4612.0,1490.1463015422344,2918.472717021696,2,8,0
13175,3146.5,4349.0,1048.2698443944034,2236.5480097686254,2,8,0
14919,3549.5,4933.666666666666,2273.1772918098577,3889.8439985857185,2,8,0
16731,4038.75,5540.333333333334,2852.4767454500548,5089.036287287931,2,8,0
14361,3503.0,4753.0,2545.8608236377204,3980.493562361331,2,8,0
17487,4098.75,5791.0,3922.369553811403,5970.505255001456,2,8,0
11770,2735.75,3886.0,1375.150749311992,1938.003353970266,2,8,0
21055,4993.25,6982.666666666666,3058.968276505441,4108.024018105704,2,8,0
16917,4082.75,5568.333333333333,1436.3338458264732,3850.8654005734,2,8,0
15147,3712.5,5011.333333333333,2189.242867599055,3587.4085818781964,2,8,0
6069,1455.5,1998.0,570.5555771935515,1239.008878095714,2,8,0
7538,1821.25,2456.0,549.29614052895,1515.5474258498148,2,8,0
4455,1077.25,1468.3333333333333,476.06608434824113,957.397688180483,2,8,0
10605,2447.25,3493.666666666667,910.8846890066089,2406.2136923667717,2,8,0
15125,3685.5,4980.0,3693.3292569171244,5192.54966273795,2,8,0
18459,4322.75,6111.0,3862.1654871328337,5879.2272451403,2,8,0
14914,3494.75,4929.333333333334,2246.6287892454925,4453.423102887636,2,8,0
12155,2908.0,4021.0,2093.299946655201,3496.93994801169,2,8,0
21934,5342.0,7275.0,6829.343794733624,9164.254688734922,2,8,0
17549,4284.25,5739.333333333333,1806.031261265061,4031.0391133469957,2,8,0
12397,2999.5,4090.333333333333,1717.3860952039877,2839.6459873254153,2,8,0
12002,2872.25,3967.0,1565.1203095396002,2825.4109435620157,2,8,0
20677,5015.5,6796.0,3856.111901903263,5863.790923967191,2,8,0
17518,4219.25,5775.0,2383.0774746113484,4140.210260361181,2,8,0
29966,7307.0,9945.666666666666,6056.329526481642,8106.355675229981,2,8,0
13080,3125.75,4322.0,1459.5728541825745,2827.5040229856436,2,8,0
54905,13520.75,18231.666666666664,18622.53486818233,22350.428571580753,2,8,0
7431,1804.5,2451.6666666666665,878.9958285832001,1887.576841702963,2,8,0
18193,4447.25,5975.333333333334,3210.4724859953767,4947.926063850726,2,8,0
12898,3128.5,4246.666666666667,1463.5187050393308,2126.088975874089,2,8,0
14122,3428.75,4666.333333333333,1560.3718306865194,3199.9127071427015,2,8,0
14224,3399.0,4701.666666666667,1983.8970067353127,3613.0443303858497,2,8,0
13007,3168.75,4266.333333333333,1747.8852698809114,3436.1004544881007,2,8,0
12732,3030.0,4209.0,1993.0012543899713,3553.456345588053,2,8,0
11383,2667.25,3755.666666666667,1579.7705265850059,2819.274079144015,2,8,0
15931,3809.5,5267.666666666666,3357.3756119922,4896.806340190853,2,8,0
13081,3167.5,4318.666666666667,2038.7464285683004,3168.1013767449635,2,8,0
11842,2823.0,3894.0,1872.3092693249157,3102.9410242542476,2,8,0
9340,2178.0,3061.333333333333,1016.9067476093044,2263.026807913095,2,8,0
14285,3445.0,4706.666666666667,1928.2180028893688,3346.6479249143213,2,8,0
14746,3439.5,4866.333333333333,1837.8546369793958,3147.237254058444,2,8,0
17491,3961.75,5792.0,3264.644071972727,5418.768587050014,2,8,0
15927,3845.5,5177.666666666666,2674.113747269053,4733.948281649614,2,8,0
14399,3384.25,4754.0,2469.240419643256,4087.780938357632,2,8,0
16923,3907.25,5570.666666666667,1975.1488340544533,4057.5685247859133,2,8,0
9407,2279.25,3108.333333333333,1485.5002243913216,2408.481333399396,2,8,0
27949,6768.0,9276.0,5933.482395131323,8058.145940599487,2,8,0
17810,4134.75,5898.666666666666,3067.485438704912,5068.864797302581,2,8,0
12241,2854.75,4039.6666666666665,2260.1448884234537,3914.2414761142845,2,8,0
11983,2388.0,3927.0,1550.718543127669,3940.9964476005302,2,8,0
12444,2913.5,4106.333333333333,1973.8499605255374,3457.772452509467,2,8,0
12230,2861.0,4034.0,1861.8168545804929,3610.7391210110986,2,8,0
20708,5075.5,6862.666666666666,4541.802322133069,5979.742831705501,2,8,0
14809,3559.5,4898.666666666666,2648.527955928224,3760.928785995998,2,8,0
9204,2155.0,3033.333333333333,1459.1273647857704,2499.612036563541,2,8,0
14398,3499.5,4761.666666666667,1938.1829119048593,3685.82288415129,2,8,0
11249,2720.5,3714.0,1455.787186828258,2584.5906832610845,2,8,0
15015,3648.75,4943.666666666666,3730.8095077788857,5008.762754746259,2,8,0
15739,3759.75,5211.666666666666,2541.5704298720507,3767.7867951004514,2,8,0
11675,2818.0,3784.0,1302.594590295333,2675.6761762216292,2,8,0
25865,6323.5,8590.666666666666,4286.967887291281,6445.687886745163,2,8,0
16054,3882.5,5319.0,3801.356819172158,5401.9341906394975,2,8,0
9764,2356.0,3134.6666666666665,893.9757640264453,1856.5705839890206,2,8,0
13294,3161.0,4394.333333333333,1728.6331787474942,3513.1063652177304,2,8,0
14179,3454.25,4686.333333333333,1253.9533151862818,2732.0944956815333,2,8,0
16177,3870.75,5327.0,3062.70048323371,4604.084708169475,2,8,0
13307,3167.5,4402.333333333333,1010.1777071386995,2619.983651348484,2,8,0
13882,3389.75,4597.0,1948.2440598309715,2513.8717151040146,2,8,0
20090,4498.5,6659.0,3475.8206225293043,6424.849570223415,2,8,0
18133,4282.75,6005.0,3031.4714111577346,5148.176084789641,2,8,0
10147,2402.25,3309.333333333333,922.5516697363532,2690.2507937613054,2,8,0
16065,3844.75,5320.333333333334,3962.703317601929,5403.87845286451,2,8,0
14956,3595.5,4947.333333333334,3792.1965930051674,5397.3588294028905,2,8,0
4573,1081.0,1494.6666666666667,458.9335463877096,981.7710187886651,2,8,0
14419,3441.0,4763.0,2012.721043761405,3549.390229321087,2,8,0
17030,3721.5,5634.666666666667,1836.4263303129442,3215.1983349916895,2,8,0
20405,4925.5,6770.0,3399.722586721844,5118.134328053534,2,8,0
28469,6781.75,9440.666666666666,4059.796905839831,6074.607175228151,2,8,0
4580,1106.25,1509.6666666666667,546.3743374891126,1047.2871303197292,2,8,0
22419,5482.25,7433.666666666667,5989.288515063093,8669.538703606631,2,8,0
13680,3272.75,4521.666666666667,2056.0992801905263,3584.8807976463227,2,8,0
24308,5895.75,8062.333333333333,6063.241013132608,8245.60199944997,2,8,0
14095,3075.25,4603.666666666666,2331.951882722569,4573.986153600963,2,8,0
16284,3775.5,5389.333333333334,2881.329843434567,4793.38339102281,2,8,0
13409,3164.25,4415.0,2267.4988239614736,3883.648413541061,2,8,0
19599,4760.25,6480.0,4895.413797627327,6440.513721746115,2,8,0
12777,3034.75,4217.666666666667,1162.3560484349591,2784.1882718906304,2,8,0
11912,2884.5,3943.0,2052.2771905048953,3168.68237600426,2,8,0
15110,3687.5,5004.333333333334,3756.025337152737,5215.209040233511,2,8,0
15600,3779.0,5161.333333333334,2486.2444234896398,4242.947363959791,2,8,0
11909,2844.25,3935.333333333333,1349.4585025112851,2415.243327976155,2,8,0
12735,3084.5,4206.666666666667,1969.0343657065341,3024.192509304481,2,8,0
10781,2524.0,3563.0,1649.9145432415582,3178.093925610129,2,8,0
7292,1752.5,2405.0,711.4335293382416,1376.3150075473275,2,8,0
6481,1506.5,2137.3333333333335,727.5275481611218,1357.1592881210863,2,8,0
7206,1718.75,2376.0,955.2596069481148,1420.5319426186798,2,8,0
10970,2652.75,3634.3333333333335,2694.101999430113,3755.7425808131916,2,8,0
8317,1989.0,2743.333333333333,1296.5140441455567,2266.228217398533,2,8,0
9517,2320.5,3144.0,1005.1973272281749,2003.2453668984238,2,8,0
8398,2016.25,2766.0,843.9065410340176,1323.433035706756,2,8,0
10519,2565.5,3480.666666666667,1842.556647704488,2875.39290068911,2,8,0
8964,2156.75,2955.3333333333335,921.2109331381891,2065.0230830025444,2,8,0
13853,3138.5,4590.666666666666,2743.314600989103,4563.550847019603,2,8,0
15984,3917.0,5294.333333333333,868.9035236050854,2486.0040895648854,2,8,0
7303,1684.75,2409.0,1159.8409014458261,2009.968158951778,2,8,0
24012,5338.25,7947.333333333334,4379.189831844851,6681.103227262196,2,8,0
11126,2683.25,3681.333333333333,1305.9268420040485,2491.4855675546933,2,8,0
12806,3011.0,4232.666666666666,1941.2866867106466,3812.4850600800173,2,8,0
11037,2326.0,3648.0,1036.2982196259916,2766.1303295398066,2,8,0
11138,2710.0,3677.3333333333335,1106.116630378551,2659.7453512194234,2,8,0
17275,4233.0,5724.666666666666,3527.726274339701,5302.8109841227915,2,8,0
6668,1621.5,2206.666666666667,1211.2950370024087,1816.484883871411,2,8,0
5717,1300.0,1868.3333333333335,569.3171348203037,1400.411487147022,2,8,0
13246,3233.25,4383.0,1391.8343711328107,2234.124213198541,2,8,0
20476,4671.0,6789.666666666667,1760.847333908688,1861.3017845941408,2,8,0
17721,4257.25,5872.666666666667,1200.8836676936419,4008.6592937456453,2,8,0
8224,2000.5,2722.3333333333335,576.3288991539466,1510.3325240930665,2,8,0
30497,7508.0,10126.0,9730.19448246882,12760.845857544084,2,8,0
17292,4202.75,5716.333333333333,1533.6721455382828,3601.369785697288,2,8,0
6130,1476.25,2026.3333333333333,1360.5644355683173,2058.6379801541925,2,8,0
11202,2673.75,3657.6666666666665,1203.6844478516784,1132.4055516171463,2,8,0
12929,3151.75,4269.666666666666,2497.7662520740405,3690.4393144086966,2,8,0
14270,3437.25,4700.666666666666,2714.882732274085,4740.6240447153505,2,8,0
5201,1229.75,1707.3333333333335,618.3765708153352,1201.1200328582208,2,8,0
7442,1720.0,2445.6666666666665,811.941295086453,1540.1819156623458,2,8,0
13390,3198.5,4407.0,2142.7884481052565,3770.693835357095,2,8,0
14256,3384.5,4716.0,2331.3420312486683,2540.0962580185815,2,8,0
15557,3661.75,5116.666666666667,2032.091430849836,3735.1632271339004,2,8,0
12357,3007.25,4085.333333333333,1688.8943868697058,2282.5374768737825,2,8,0
