Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.10.6-10.10.10.10-36392-80-6,10.10.10.6,36392,10.10.10.10,80,6,31/08/2026 11:12:21 PM,24348,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,42467.55380318712,369.64021685559385,3043.4999999999995,5337.449658511344,16125.0,115.0,23357.0,5839.25,6882.41161100768,16125.0,1939.0,24233.0,8077.666666666667,9488.007026416735,18923.0,1311.0,0,0,0,0,168,136,205.3556760308855,164.2845408247084,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36396-80-6,10.10.10.6,36396,10.10.10.10,80,6,31/08/2026 11:12:21 PM,9774,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,105790.87374667486,920.8103130755064,1221.7499999999998,2139.8216047138135,6423.0,55.0,9596.0,2399.0,2701.2398387900816,6423.0,611.0,9719.0,3239.666666666667,3413.01953310164,7110.0,661.0,0,0,0,0,168,136,511.56128504194805,409.24902803355843,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36400-80-6,10.10.10.6,36400,10.10.10.10,80,6,31/08/2026 11:12:21 PM,18857,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,54833.748740520765,477.27634300259854,2357.1250000000005,2959.8468800888045,9297.0,126.0,18104.0,4526.0,3299.351249362012,9297.0,2027.0,18700.0,6233.333333333334,5501.023934990043,12351.0,1694.0,0,0,0,0,168,136,265.1535238903325,212.12281911226603,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36414-80-6,10.10.10.6,36414,10.10.10.10,80,6,31/08/2026 11:12:21 PM,8707,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,118755.02469277593,1033.6510853336397,1088.375,1090.2278841075909,3431.0,79.0,8394.0,2098.5,951.9063329270725,3431.0,1375.0,8628.0,2876.0,1952.4425727790306,4852.0,948.0,0,0,0,0,168,136,574.2506029631331,459.4004823705065,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36420-80-6,10.10.10.6,36420,10.10.10.10,80,6,31/08/2026 11:12:21 PM,21654,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,47750.992888149995,415.6275976724855,2706.75,3885.9757278118523,11933.0,93.0,20939.0,5234.75,4506.63321301686,11933.0,2192.0,21561.0,7187.0,7154.526049991013,15080.0,1128.0,0,0,0,0,168,136,230.90422092915858,184.72337674332687,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36424-80-6,10.10.10.6,36424,10.10.10.10,80,6,31/08/2026 11:12:21 PM,16102,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,64215.62538815053,558.9367780399949,2012.75,2618.0042426026957,8196.0,89.0,15494.0,3873.5,2950.032937669228,8196.0,1798.0,16007.0,5335.666666666666,4570.741333015174,10426.0,1583.0,0,0,0,0,168,136,310.5204322444417,248.41634579555333,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36434-80-6,10.10.10.6,36434,10.10.10.10,80,6,31/08/2026 11:12:21 PM,15851,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,65232.477446217905,567.787521292032,1981.3750000000002,2570.526068309198,7979.0,191.0,15539.0,3884.75,2929.261496805409,7979.0,1142.0,15660.0,5220.0,4465.383186245051,10213.0,1609.0,0,0,0,0,168,136,315.4375118289067,252.35000946312536,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36440-80-6,10.10.10.6,36440,10.10.10.10,80,6,31/08/2026 11:12:21 PM,13779,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,75041.73016909791,653.1678641410842,1722.375,1709.4898100644782,5484.0,110.0,12996.0,3249.0,1848.3480913146925,5484.0,1578.0,13662.0,4554.0,3151.9037104581735,8106.0,2091.0,0,0,0,0,168,136,362.8710356339357,290.2968285071486,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36450-80-6,10.10.10.6,36450,10.10.10.10,80,6,31/08/2026 11:12:22 PM,14670,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,70483.98091342876,613.4969325153374,1833.75,2340.0311200616843,7342.0,59.0,14118.0,3529.5,2703.3294903384117,7342.0,1088.0,14393.0,4797.666666666666,3983.1641107708997,9328.0,1845.0,0,0,0,0,168,136,340.83162917518746,272.66530334014993,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36454-80-6,10.10.10.6,36454,10.10.10.10,80,6,31/08/2026 11:12:22 PM,24079,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,42941.9826404751,373.76967482038293,3009.875,5378.177026186476,16158.0,96.0,23672.0,5918.0,6920.575939423925,16158.0,1485.0,23983.0,7994.333333333333,9349.110777680053,18748.0,1796.0,0,0,0,0,168,136,207.64981934465717,166.11985547572573,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36456-80-6,10.10.10.6,36456,10.10.10.10,80,6,31/08/2026 11:12:22 PM,20826,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,49649.47661576875,432.152117545376,2603.2499999999995,3939.0223859662,12042.0,121.0,20431.0,5107.75,4802.001969665013,12042.0,1210.0,20705.0,6901.666666666666,6550.116818296703,14398.0,2283.0,0,0,0,0,168,136,240.0845097474311,192.06760779794487,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36462-80-6,10.10.10.6,36462,10.10.10.10,80,6,31/08/2026 11:12:22 PM,4585,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,225517.99345692477,1962.9225736095966,573.125,641.1913994387992,2052.0,52.0,4413.0,1103.25,683.5277975327705,2052.0,576.0,4519.0,1506.3333333333335,1149.0802118796291,2779.0,545.0,0,0,0,0,168,136,1090.5125408942204,872.4100327153762,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36468-80-6,10.10.10.6,36468,10.10.10.10,80,6,31/08/2026 11:12:22 PM,5301,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,195057.53631390302,1697.792869269949,662.625,782.5982252362046,2474.0,47.0,5125.0,1281.25,832.7289975336114,2474.0,695.0,5245.0,1748.3333333333335,1420.725284259182,3308.0,528.0,0,0,0,0,168,136,943.2182607055272,754.5746085644217,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36478-80-6,10.10.10.6,36478,10.10.10.10,80,6,31/08/2026 11:12:22 PM,13357,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,77412.5926480497,673.8039979037209,1669.6249999999998,2089.187124047464,6640.0,117.0,12536.0,3134.0,2458.484763697618,6640.0,1404.0,13240.0,4413.333333333334,3848.859874473652,8797.0,1588.0,0,0,0,0,168,136,374.335554390956,299.46844351276485,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
