Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.10.30-10.10.10.10-45472-80-6,10.10.10.30,45472,10.10.10.10,80,6,31/08/2026 11:50:10 PM,60001210,10,10,174.0,0.0,88.0,0.0,17.4,25.522103709878184,0.0,0.0,0.0,0.0,2.899941517846057,0.3333266112466732,3157958.421052631,4713815.244265488,1.0096891E7,15.0,5.0893104E7,5654789.333333333,5228587.093777391,1.0097142E7,288.0,6.0001156E7,6666795.111111111,4866166.725124419,1.0096916E7,320.0,0,0,0,0,328,328,0.1666633056233366,0.1666633056233366,0.0,88.0,8.285714285714285,19.29803839032055,372.41428571428577,1,2,0,8,19,0,0,0,1.0,8.7,17.4,0.0,0,0,0,0,0,0,1,29,1,0,64240,128,8,32,97848.83333333334,239443.11297543446,586610.0,15.0,9902352.833333332,389882.97115232726,1.0096891E7,9108091.0,NeedManualLabel
10.10.10.30-10.10.10.10-45412-80-6,10.10.10.30,45412,10.10.10.10,80,6,31/08/2026 11:50:10 PM,60005803,10,10,174.0,0.0,88.0,0.0,17.4,25.52210370987818,0.0,0.0,0.0,0.0,2.899719548790973,0.3333010975621808,3158200.157894737,4713733.03469811,1.0097136E7,12.0,5.0897016E7,5655224.0,5228031.080536295,1.0097179E7,128.0,6.0005768E7,6667307.555555556,4865501.553414203,1.0097148E7,352.0,0,0,0,0,328,328,0.1666505487810904,0.1666505487810904,0.0,88.0,8.285714285714283,19.29803839032055,372.4142857142857,1,2,0,8,19,0,0,0,1.0,8.7,17.4,0.0,0,0,0,0,0,0,1,29,1,0,64240,128,8,32,98525.33333333333,241230.97641610348,590936.0,12.0,9902441.833333334,389610.454137677,1.0097136E7,9108752.0,NeedManualLabel
10.10.10.30-10.10.10.10-45424-80-6,10.10.10.30,45424,10.10.10.10,80,6,31/08/2026 11:50:10 PM,60005111,10,10,175.0,0.0,88.0,0.0,17.5,25.49182875615897,0.0,0.0,0.0,0.0,2.9164182364398927,0.3333049413074163,3158163.736842105,4713744.246043548,1.0097089E7,25.0,5.0896558E7,5655173.111111111,5228144.681632946,1.0097179E7,203.0,6.000501E7,6667223.333333333,4865623.2455517715,1.0097116E7,471.0,0,0,0,0,328,328,0.16665247065370814,0.16665247065370814,0.0,88.0,8.333333333333332,19.303712941642427,372.6333333333334,1,2,0,8,19,0,0,0,1.0,8.75,17.5,0.0,0,0,0,0,0,0,1,29,1,0,64240,128,8,32,98423.5,240937.93688894244,590236.0,25.0,9902428.333333334,389707.28440082667,1.0097089E7,9108528.0,NeedManualLabel
10.10.10.30-10.10.10.10-45438-80-6,10.10.10.30,45438,10.10.10.10,80,6,31/08/2026 11:50:10 PM,60003614,10,10,172.0,0.0,88.0,0.0,17.2,25.54212207315594,0.0,0.0,0.0,0.0,2.866494008177574,0.3333132567648342,3158084.9473684207,4713795.440284759,1.0096875E7,0.0,5.0894982E7,5654998.0,5228341.44153012,1.0096891E7,0.0,6.0003584E7,6667064.88888889,4865860.524212712,1.0096935E7,248.0,0,0,0,0,328,328,0.1666566283824171,0.1666566283824171,0.0,88.0,8.19047619047619,19.26296718477984,371.0619047619049,1,2,0,8,19,0,0,0,1.0,8.6,17.2,0.0,0,0,0,0,0,0,1,28,1,0,64240,128,8,32,98169.0,240310.13236565786,588700.0,16.0,9902433.333333334,389706.03095495835,1.0096875E7,9108536.0,NeedManualLabel
10.10.10.30-10.10.10.10-45446-80-6,10.10.10.30,45446,10.10.10.10,80,6,31/08/2026 11:50:10 PM,60002882,10,10,175.0,0.0,88.0,0.0,17.5,25.49182875615897,0.0,0.0,0.0,0.0,2.916526576173458,0.33331732299125233,3158046.4210526315,4713809.619386724,1.0096785E7,0.0,5.0894223E7,5654913.666666667,5228435.732485411,1.0096891E7,0.0,6.000286E7,6666984.444444444,4865979.497124631,1.0096856E7,176.0,0,0,0,0,328,328,0.16665866149562616,0.16665866149562616,0.0,88.0,8.333333333333332,19.303712941642427,372.6333333333334,1,2,0,8,19,0,0,0,1.0,8.75,17.5,0.0,0,0,0,0,0,0,1,29,1,0,64240,128,8,32,98059.33333333333,239997.41521246987,587952.0,13.0,9902421.0,389693.1947884131,1.0096785E7,9108549.0,NeedManualLabel
10.10.10.30-10.10.10.10-45462-80-6,10.10.10.30,45462,10.10.10.10,80,6,31/08/2026 11:50:10 PM,60001948,10,10,175.0,0.0,88.0,0.0,17.5,25.49182875615897,0.0,0.0,0.0,0.0,2.9165719752965353,0.33332251146246117,3157997.263157895,4713812.335952195,1.0096684E7,0.0,5.089347E7,5654830.0,5228568.982231324,1.009689E7,0.0,6.0001932E7,6666881.333333333,4866115.985176988,1.0096801E7,153.0,0,0,0,0,328,328,0.16666125573123058,0.16666125573123058,0.0,88.0,8.333333333333332,19.303712941642427,372.6333333333334,1,2,0,8,19,0,0,0,1.0,8.75,17.5,0.0,0,0,0,0,0,0,1,29,1,0,64240,128,8,32,97939.33333333333,239615.29981173293,587052.0,31.0,9902385.333333334,389720.99317828217,1.0096684E7,9108447.0,NeedManualLabel
10.10.10.30-10.10.10.10-45484-80-6,10.10.10.30,45484,10.10.10.10,80,6,31/08/2026 11:50:10 PM,60000527,10,10,170.0,0.0,88.0,0.0,17.0,25.651510676761323,0.0,0.0,0.0,0.0,2.8333084474408032,0.33333040558127097,3157922.473684211,4713876.42573429,1.0096845E7,13.0,5.0892087E7,5654676.333333333,5228717.429332145,1.0097142E7,141.0,6.0000471E7,6666719.0,4866351.159089529,1.0096909E7,204.0,0,0,0,0,328,328,0.16666520279063549,0.16666520279063549,0.0,88.0,8.095238095238093,19.281869105210628,371.79047619047617,1,2,0,8,19,0,0,0,1.0,8.5,17.0,0.0,0,0,0,0,0,0,1,28,1,0,64240,128,8,32,97674.66666666666,239037.56243458195,585608.0,13.0,9902413.166666666,389758.6099561711,1.0096845E7,9108409.0,NeedManualLabel
10.10.10.30-10.10.10.10-45502-80-6,10.10.10.30,45502,10.10.10.10,80,6,31/08/2026 11:50:10 PM,60001181,10,10,173.0,0.0,88.0,0.0,17.3,25.551907952244978,0.0,0.0,0.0,0.0,2.8832765808393,0.3333267723513642,3157956.894736842,4713963.475592686,1.0096773E7,0.0,5.0891182E7,5654575.777777778,5228823.511502821,1.0097142E7,0.0,6.0001107E7,6666789.666666667,4866585.155652756,1.0096932E7,317.0,0,0,0,0,328,328,0.1666633861756821,0.1666633861756821,0.0,88.0,8.238095238095237,19.292238755273484,372.1904761904762,1,2,0,8,19,0,0,0,1.0,8.65,17.3,0.0,0,0,0,0,0,0,1,28,1,0,64240,128,8,32,97592.16666666667,238646.37884486464,584727.0,84.0,9902604.666666668,389118.762384271,1.0096773E7,9109911.0,NeedManualLabel
10.10.10.30-10.10.10.10-45492-80-6,10.10.10.30,45492,10.10.10.10,80,6,31/08/2026 11:50:10 PM,60001653,10,10,175.0,0.0,88.0,0.0,17.5,25.49182875615897,0.0,0.0,0.0,0.0,2.9165863147136966,0.3333241502529939,3157981.7368421056,4713974.30983179,1.0096793E7,21.0,5.0891615E7,5654623.888888889,5228774.023251016,1.0097142E7,203.0,6.0001619E7,6666846.555555556,4866518.863563541,1.0096916E7,285.0,0,0,0,0,328,328,0.16666207512649694,0.16666207512649694,0.0,88.0,8.333333333333332,19.303712941642427,372.6333333333334,1,2,0,8,19,0,0,0,1.0,8.75,17.5,0.0,0,0,0,0,0,0,1,29,1,0,64240,128,8,32,97636.16666666667,238830.58249430006,585147.0,53.0,9902639.333333334,389105.7582543166,1.0096793E7,9109971.0,NeedManualLabel
10.10.10.30-10.10.10.10-45510-80-6,10.10.10.30,45510,10.10.10.10,80,6,31/08/2026 11:50:10 PM,60000656,10,10,174.0,0.0,88.0,0.0,17.4,25.522103709878184,0.0,0.0,0.0,0.0,2.899968293679989,0.3333296889287344,3157929.263157895,4714016.857637454,1.0096745E7,13.0,5.0890919E7,5654546.555555556,5228928.123070949,1.0096758E7,217.0,6.000058E7,6666731.111111111,4866680.316705974,1.0096928E7,237.0,0,0,0,0,328,328,0.1666648444643672,0.1666648444643672,0.0,88.0,8.285714285714285,19.29803839032055,372.4142857142857,1,2,0,8,19,0,0,0,1.0,8.7,17.4,0.0,0,0,0,0,0,0,1,29,1,0,64240,128,8,32,97456.16666666666,238444.52869664814,584179.0,13.0,9902653.166666666,389251.31513222476,1.0096745E7,9109681.0,NeedManualLabel
